Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-14 09:30:00-05:00,148.97000122070312,149.4600067138672,147.42999267578125,148.125,16592140,0.0,0.0
2022-11-14 10:30:00-05:00,148.122802734375,148.41000366210938,147.6199951171875,147.63999938964844,7828758,0.0,0.0
2022-11-14 11:30:00-05:00,147.63999938964844,149.25,147.53990173339844,148.96009826660156,8263810,0.0,0.0
2022-11-14 12:30:00-05:00,148.97000122070312,149.8000030517578,148.7010040283203,149.71499633789062,6882713,0.0,0.0
2022-11-14 13:30:00-05:00,149.72000122070312,150.27999877929688,149.4499969482422,150.0,6485638,0.0,0.0
2022-11-14 14:30:00-05:00,150.0,150.2100067138672,149.11000061035156,149.32000732421875,7506909,0.0,0.0
2022-11-14 15:30:00-05:00,149.3115997314453,149.43499755859375,148.07000732421875,148.3699951171875,7624770,0.0,0.0
2022-11-15 09:30:00-05:00,152.21499633789062,153.58999633789062,151.67999267578125,153.1699981689453,21958202,0.0,0.0
2022-11-15 10:30:00-05:00,153.17799377441406,153.2100067138672,151.7899932861328,152.15499877929688,9503930,0.0,0.0
2022-11-15 11:30:00-05:00,152.16000366210938,153.02999877929688,151.89999389648438,151.97000122070312,8461641,0.0,0.0
2022-11-15 12:30:00-05:00,151.9600067138672,152.11000061035156,149.68499755859375,149.8699951171875,9912209,0.0,0.0
2022-11-15 13:30:00-05:00,149.8699951171875,150.61000061035156,148.56129455566406,150.36900329589844,13455401,0.0,0.0
2022-11-15 14:30:00-05:00,150.3876953125,150.88999938964844,149.77999877929688,150.55499267578125,9190129,0.0,0.0
2022-11-15 15:30:00-05:00,150.55999755859375,150.60000610351562,149.6300048828125,150.05999755859375,7242046,0.0,0.0
2022-11-16 09:30:00-05:00,149.1300048828125,149.8699951171875,147.2899932861328,148.2050018310547,17913700,0.0,0.0
2022-11-16 10:30:00-05:00,148.20849609375,148.89999389648438,147.63999938964844,148.3582000732422,8917293,0.0,0.0
2022-11-16 11:30:00-05:00,148.35000610351562,148.8800048828125,148.1699981689453,148.77589416503906,6343496,0.0,0.0
2022-11-16 12:30:00-05:00,148.77999877929688,149.5,148.52999877929688,149.1699981689453,6241920,0.0,0.0
2022-11-16 13:30:00-05:00,149.17999267578125,149.3300018310547,148.5,148.6300048828125,4134436,0.0,0.0
2022-11-16 14:30:00-05:00,148.63999938964844,149.07659912109375,148.27999877929688,148.7100067138672,5497414,0.0,0.0
2022-11-16 15:30:00-05:00,148.7100067138672,149.25,148.42010498046875,148.77999877929688,6195587,0.0,0.0
2022-11-17 09:30:00-05:00,146.42999267578125,148.80999755859375,146.14999389648438,148.74119567871094,13877388,0.0,0.0
2022-11-17 10:30:00-05:00,148.74000549316406,148.97999572753906,148.00999450683594,148.80999755859375,7606551,0.0,0.0
2022-11-17 11:30:00-05:00,148.81900024414062,150.05540466308594,148.68040466308594,149.72500610351562,8646763,0.0,0.0
2022-11-17 12:30:00-05:00,149.72999572753906,151.47999572753906,149.61000061035156,151.2899932861328,9682325,0.0,0.0
